Location,Latitude,Longitude,Area_ID,Reporting_District_no,Part 1-2,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Weapon_Used_Code,Status,Crime_Category,Hours_Occurred,Reported_Year,Reported_Month,Reported_Weekday,Occurred_Day,Occurred_Weekday,Modus_Operandi_num_code,Time_Difference_Log
4500    CARPENTER                    AV,34.1522,-118.391,15,1563,1,75,M,W,101,0.0,IC,Property Crimes,18.0,2020,3,0,6,4,1,4.290459441148391
45TH                         ST,34.0028,-118.2391,13,1367,1,41,M,H,216,400.0,IC,Property Crimes,13.75,2020,2,3,27,3,8,0.0
600 E  MARTIN LUTHER KING JR        BL,34.0111,-118.2653,13,1343,2,67,M,B,501,0.0,IC,Property Crimes,6.083333333333333,2020,8,4,21,4,2,0.0
14900    ORO GRANDE                   ST,34.2953,-118.459,19,1924,1,61,M,H,101,0.0,IC,Property Crimes,18.0,2020,11,6,6,4,2,3.8918202981106265
7100 S  VERMONT                      AV,33.9787,-118.2918,12,1245,1,0,X,X,401,400.0,IC,Property Crimes,11.5,2020,2,1,25,1,6,0.0
300 N  AVENUE 57,34.1127,-118.1942,11,1118,2,50,M,H,502,400.0,AO,Violent Crimes,2.9333333333333336,2020,1,4,10,4,2,0.0
1600 N  SOTO                         ST,34.0623,-118.198,4,448,1,0,X,X,202,0.0,IC,Property Crimes,18.666666666666668,2020,8,0,17,0,1,0.0
12600    BRADDOCK                     DR,33.9864,-118.4239,14,1455,1,68,F,W,502,0.0,IC,Property Crimes,11.0,2021,10,3,19,3,2,9.518486617560317
5500    COLDWATER CA                 AV,34.1781,-118.4179,9,939,1,0,,,104,0.0,IC,Property Crimes,16.0,2020,1,1,26,6,1,3.8918202981106265
11500    AVIATION                     BL,33.9298,-118.3784,14,1499,2,22,F,H,108,0.0,AA,Property Crimes,4.75,2020,7,1,7,1,3,0.0
MASON                        AV,34.2536,-118.5913,17,1752,2,22,F,W,502,0.0,AO,Other Crimes,12.0,2020,1,1,7,1,5,5.820082930352362
5800    BONSALLO                     AV,33.9875,-118.286,12,1239,1,22,M,H,121,511.0,IC,Violent Crimes,14.5,2020,6,3,11,3,7,0.0
100    THE GROVE                    DR,34.0761,-118.3563,7,724,1,0,,,101,0.0,IC,Property Crimes,5.0,2020,2,0,3,0,1,0.0
AFTON,34.0944,-118.3277,6,666,1,50,M,W,102,207.0,IC,Crimes against Public Order,2.25,2020,2,5,22,5,2,0.0
1600 S  GRAND                        AV,33.7293,-118.2902,5,563,1,31,M,H,501,102.0,IC,Crimes against Public Order,9.333333333333334,2020,11,6,8,6,5,0.0
3000    JOHNSTON                     ST,34.0805,-118.2087,4,414,1,0,,,101,0.0,IC,Property Crimes,17.0,2020,7,4,31,4,1,0.0
23100    SHERMAN                      WY,34.1998,-118.63,21,2133,1,46,F,O,203,0.0,IC,Property Crimes,13.25,2020,8,0,17,0,2,0.0
2800    WESTSHIRE                    DR,34.1214,-118.3203,6,627,2,31,M,W,501,500.0,AO,Crimes against Public Order,16.5,2020,9,1,8,1,2,0.0
3200    GRAND VIEW                   BL,34.015,-118.4389,14,1424,1,72,M,O,203,0.0,IC,Property Crimes,14.0,2020,6,3,12,3,1,7.83241092718792
700 W  OLYMPIC                      BL,34.0444,-118.2628,1,182,2,22,F,W,502,400.0,IC,Violent Crimes,1.0833333333333333,2020,9,4,11,4,4,0.0
7900    KESTER                       AV,34.2147,-118.4565,19,1994,2,26,F,H,122,0.0,IC,Property Crimes,15.5,2020,3,0,20,4,1,4.290459441148391
CHEROKEE,34.098,-118.3353,6,646,1,38,M,H,101,0.0,IC,Property Crimes,20.5,2021,2,4,12,2,2,9.080801000621198
16700 W  VENTURA                      BL,34.1613,-118.4917,10,1078,1,0,,,707,0.0,IC,Property Crimes,13.0,2020,6,4,26,4,1,0.0
2700 W  8TH                          ST,34.0598,-118.2865,20,2039,1,0,,,503,0.0,IC,Property Crimes,23.0,2020,7,6,25,5,1,3.2188758248682006
6200    KESTER                       AV,34.1827,-118.4575,9,933,1,37,M,W,502,0.0,IC,Property Crimes,11.0,2020,8,2,24,0,1,3.8918202981106265
4000    TRINITY                      ST,34.0106,-118.2704,13,1354,2,42,F,H,101,0.0,AO,Crimes against Public Order,22.5,2020,10,3,28,2,1,3.2188758248682006
6000    LASAINE                      AV,34.179,-118.5105,10,1047,1,40,M,H,707,0.0,AO,Property Crimes,21.5,2020,6,6,13,5,2,3.2188758248682006
6200 S  RIMPAU                       BL,33.9836,-118.3397,12,1231,1,53,M,B,101,0.0,IC,Property Crimes,18.0,2020,12,6,24,3,5,4.290459441148391
NORDHOFF,34.2337,-118.463,19,1972,1,31,F,H,101,307.0,AA,Violent Crimes,7.5,2020,9,3,17,3,7,0.0
BALBOA,34.2684,-118.5022,17,1735,1,0,,,101,0.0,IC,Property Crimes,21.0,2020,6,4,18,3,1,3.2188758248682006
4200    MURIETTA                     AV,34.1464,-118.4383,9,985,2,60,F,W,501,0.0,IC,Fraud and White-Collar Crimes,12.0,2020,6,3,1,2,3,7.337587743538596
13900    POLK                         ST,34.3238,-118.4387,19,1904,2,29,M,H,501,400.0,AA,Violent Crimes,22.25,2020,2,3,6,3,3,0.0
19100    INGOMAR                      ST,34.212,-118.5492,10,1001,2,26,F,W,501,400.0,AO,Violent Crimes,8.5,2020,12,3,31,3,5,0.0
400 S  OXFORD                       AV,34.0672,-118.3079,20,2023,2,0,X,X,506,0.0,IC,Crimes against Public Order,13.75,2020,1,2,22,2,1,0.0
23200    GONZALES                     DR,34.1657,-118.6321,21,2173,1,13,F,W,509,400.0,IC,Violent Crimes,8.0,2020,2,2,1,5,5,4.574710978503383
11800    JEFFERSON                    BL,33.9861,-118.4017,14,1465,1,0,X,X,710,0.0,IC,Property Crimes,13.0,2020,10,2,25,4,3,6.437751649736401
13400    CORNELIUS                    ST,34.2796,-118.4239,16,1611,2,33,M,H,707,400.0,IC,Violent Crimes,16.0,2020,10,3,30,2,3,3.2188758248682006
NOBLE,34.2329,-118.461,19,1972,1,0,,,101,0.0,AA,Property Crimes,17.5,2020,7,3,8,2,1,3.2188758248682006
18700    SUNBURST                     ST,34.2346,-118.5403,17,1785,2,27,F,W,103,400.0,AO,Violent Crimes,0.25,2020,1,2,1,2,4,0.0
1900    GLENDON                      AV,34.0472,-118.4333,8,835,1,0,,,707,0.0,AA,Property Crimes,23.983333333333334,2020,9,2,1,1,1,3.2188758248682006
10100    BARTEE                       AV,34.2537,-118.4355,19,1959,2,15,M,H,501,400.0,AO,Violent Crimes,20.916666666666668,2020,4,2,8,2,1,0.0
25TH                         ST,34.0147,-118.2445,13,1327,1,33,M,H,102,102.0,AO,Violent Crimes,1.6666666666666665,2020,12,2,16,2,7,0.0
6700    CEDROS                       AV,34.1925,-118.4531,9,923,1,23,M,W,101,0.0,IC,Property Crimes,22.85,2021,1,4,19,5,5,6.892641641172089
15700    WOODVALE                     RD,34.1529,-118.4749,10,1089,1,74,F,O,501,0.0,IC,Property Crimes,19.5,2020,7,3,29,2,7,3.2188758248682006
11200    COVELLO                      ST,34.2075,-118.3769,15,1506,2,29,F,H,602,0.0,IC,Fraud and White-Collar Crimes,13.5,2020,12,2,18,4,2,4.795790545596741
7800    CLYBOURN                     AV,34.2121,-118.3638,16,1698,1,63,M,H,108,0.0,IC,Property Crimes,4.333333333333333,2020,5,0,18,0,2,0.0
600 E  87TH                         ST,33.9593,-118.2651,18,1804,2,22,M,H,501,400.0,AO,Violent Crimes,15.0,2020,1,0,6,0,4,0.0
SHERMAN                      WY,34.2013,-118.4574,9,904,1,78,F,H,101,400.0,IC,Property Crimes,16.0,2020,11,5,19,3,5,3.8918202981106265
7600    VINELAND                     AV,34.2084,-118.3703,16,1695,2,0,M,W,102,102.0,IC,Crimes against Public Order,19.5,2020,10,5,3,5,1,0.0
