Location,Latitude,Longitude,Area_ID,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Weapon_Used_Code,Status,Crime_Category,Hours_Occurred,Reported_Year,Reported_Month,Reported_Weekday,Occurred_Day,Occurred_Weekday,Time_Difference_Log
8800 S  VERMONT                      AV,33.958,-118.2915,18,1801,2,1822 0329 1202,77,M,W,203,0.0,IC,0,34.45,2020,4,3,7,1,3.8918202981106265
6400    SELMA                        AV,34.0998,-118.33,6,646,1,1822 0334,30,M,H,503,102.0,IC,1,0.39749999999999996,2020,8,4,7,4,0.0
3600    WILSHIRE                     BL,34.0617,-118.3087,20,2033,1,0344 0358 1210 1307 1609 1822,35,M,O,108,0.0,IC,0,53.0,2020,8,0,22,5,3.8918202981106265
10800    ROCHESTER                    AV,34.057,-118.4392,8,833,1,0344 1822 1606 1420 1414,56,F,O,101,0.0,IC,0,32.6745,2020,1,0,20,0,0.0
FOOTHILL                     BL,34.3213,-118.4792,19,1901,1,2000 1814 0408 0419 0448 0913 0401 1312,34,F,H,122,400.0,AO,1,7.95,2020,9,3,17,3,0.0
1500 W  206TH                        ST,33.8439,-118.304,5,504,1,1221 1608 0344 0352,36,M,H,501,0.0,IC,0,39.75,2020,3,2,1,6,4.290459441148391
ROSCOE                       BL,34.2215,-118.4588,19,1994,1,1822 0416 0344 0906,37,M,H,102,400.0,IC,0,13.25,2020,4,0,20,0,0.0
18400    BURBANK                      BL,34.1718,-118.5338,10,1063,2,1236 1822 0329,0,M,W,406,0.0,IC,0,9.5135,2020,11,4,27,4,0.0
7800    VAN NUYS                     BL,34.2117,-118.4488,19,1995,1,1822 0416 1309,36,M,O,108,307.0,AA,1,47.8325,2020,11,1,14,5,4.290459441148391
300 W  59TH                         PL,33.986,-118.2783,13,1381,1,0416 2000 0913 0429 0344,23,F,H,501,400.0,IC,0,55.65,2020,12,4,24,3,3.2188758248682006
18500    DEARBORN                     ST,34.2373,-118.5369,17,1785,1,,0,,,101,0.0,IC,0,21.2,2020,11,3,6,4,4.976733742420574
800 S  HILL                         ST,34.0462,-118.2585,1,162,1,0344 1822 2004 1414,50,M,H,602,400.0,AA,0,30.342499999999998,2020,3,5,21,5,0.0
4400    ESMERALDA                    ST,34.082,-118.1931,4,417,2,2004 2038,60,F,H,707,0.0,IC,2,11.395,2020,1,4,10,4,0.0
