iter	MultiClass
0	1.500959163
1	1.316656478
2	1.181467101
3	1.0757069
4	0.996522965
5	0.9230629272
6	0.8674481936
7	0.8146114822
8	0.7723438556
9	0.7318417448
10	0.6954678059
11	0.6649173966
12	0.6370762334
13	0.6141837804
14	0.591804495
15	0.5714216052
16	0.5542572956
17	0.5388365693
18	0.5260133746
19	0.5132429997
20	0.502910491
21	0.4909779055
22	0.4824513736
23	0.4740366923
24	0.4677027554
25	0.4605998309
26	0.4527283976
27	0.4465859279
28	0.4410860963
29	0.4360413149
30	0.4301718003
31	0.4267837795
32	0.4220223616
33	0.4178492136
34	0.414542765
35	0.4107499206
36	0.4079220452
37	0.4049814739
38	0.402215811
39	0.401246761
40	0.3983984345
41	0.3972099019
42	0.3965301205
43	0.3946473828
44	0.3927307561
45	0.3922436291
46	0.3909151293
47	0.3894829552
48	0.3870593569
49	0.386916088
50	0.3848797798
51	0.3836362779
52	0.3830362621
53	0.3808719512
54	0.3803076924
55	0.3801950115
56	0.3792027444
57	0.3777555159
58	0.3770971115
59	0.3769823256
60	0.3766773056
61	0.3764858116
62	0.3763355916
63	0.3762235145
64	0.3756041286
65	0.3747110451
66	0.3737876942
67	0.3730817673
68	0.3723104187
69	0.3722551438
70	0.3721752444
71	0.3717024179
72	0.3712297802
73	0.3707200959
74	0.3706267027
75	0.3705205809
76	0.3703490879
77	0.370204368
78	0.3701602574
79	0.3701148247
80	0.3695172304
81	0.3693200304
82	0.3690508214
83	0.3690161902
84	0.3688483929
85	0.3687399873
86	0.3685272621
87	0.3684524289
88	0.3684188106
89	0.3683747161
90	0.3681943403
91	0.3681219069
92	0.3681075907
93	0.3679865262
94	0.3679722976
95	0.367957395
96	0.3679193006
97	0.3679003323
98	0.3678887443
99	0.3678691322
100	0.3678447538
101	0.3676708813
102	0.3676563058
103	0.3676310542
104	0.3676129797
105	0.3675967018
106	0.3675802684
107	0.3672342494
108	0.3672173322
109	0.3671737553
110	0.3671509141
111	0.3671364324
112	0.3670255098
113	0.3669656071
114	0.366948463
115	0.3669345259
116	0.366912784
117	0.3668983718
118	0.3668845075
119	0.366866589
120	0.3668468197
121	0.3667984653
122	0.3667783333
123	0.3667613965
124	0.3667461013
125	0.3667249326
126	0.3667007541
127	0.3666779844
128	0.3666571523
129	0.3666405575
130	0.3666250501
131	0.366603042
132	0.3665811355
133	0.3665509163
134	0.3665343183
135	0.3665131799
136	0.3652937993
137	0.3652778702
138	0.3652592987
139	0.3652426297
140	0.3643559014
141	0.3641475213
142	0.3641203668
143	0.3641023617
144	0.3640865058
145	0.3640718885
146	0.3640463509
147	0.3640307811
148	0.3640098025
149	0.3639830412
150	0.3638622391
151	0.3638425316
152	0.363826038
153	0.3638099395
154	0.363793651
155	0.3637665264
156	0.363739648
157	0.3637227705
158	0.3636977429
159	0.3636658279
160	0.3636511387
161	0.3636344768
162	0.3636092374
163	0.3635874257
164	0.3635725665
165	0.3635558358
166	0.3635354727
167	0.3631194662
168	0.3631030727
169	0.3630862041
170	0.3630697171
171	0.363053264
172	0.3630380558
173	0.3630155694
174	0.3629986061
175	0.3629746956
176	0.3629507667
177	0.3629345734
178	0.3629206611
179	0.3629017486
180	0.362885647
181	0.3628655529
182	0.3627594778
183	0.3627403782
184	0.3627224966
185	0.3625657129
186	0.3625470012
187	0.3625223915
188	0.3625058503
189	0.3624826046
190	0.3624635788
191	0.3624464228
192	0.3624233804
193	0.3624062423
194	0.3623897682
195	0.3623724745
196	0.3623513168
197	0.3623344809
198	0.3623167123
199	0.3622981485
200	0.3622813159
201	0.3622661518
202	0.3622509459
203	0.3622345393
204	0.3622169569
205	0.3621899197
206	0.3621726523
207	0.3621580043
208	0.3620308214
209	0.3620161588
210	0.3620021849
211	0.3619843051
212	0.361969045
213	0.3619533905
214	0.3619376033
215	0.3619230301
216	0.3619031192
217	0.3618840363
218	0.3618666097
219	0.3618438417
220	0.3618275835
221	0.3618130695
222	0.3612400366
223	0.3612196048
224	0.3609531729
225	0.3609359703
226	0.3609201686
227	0.36090389
228	0.3608909629
229	0.3608748654
230	0.3608561101
231	0.3608351406
232	0.3608192516
233	0.3608010779
234	0.36077441
235	0.3607592891
236	0.3607371146
237	0.360718334
238	0.3607001003
239	0.3603760056
240	0.3603577196
241	0.3603409764
242	0.3603175924
243	0.3602998413
244	0.3602839588
245	0.3602635638
246	0.3602479867
247	0.3602323807
248	0.3602161674
249	0.3602012468
250	0.360188319
251	0.3601715629
252	0.3601536221
253	0.3601402089
254	0.3601249204
255	0.3601089348
