iter	Passed	Remaining
0	90	90047
1	164	82121
2	239	79486
3	313	77977
4	389	77595
5	467	77527
6	549	77993
7	622	77212
8	705	77652
9	777	76944
10	853	76716
11	930	76570
12	1004	76237
13	1078	75938
14	1152	75655
15	1235	76007
16	1321	76420
17	1403	76543
18	1490	76957
19	1584	77624
20	1663	77548
21	1742	77455
22	1820	77346
23	1901	77322
24	1983	77341
25	2069	77523
26	2150	77497
27	2228	77348
28	2310	77366
29	2385	77146
30	2458	76843
31	2532	76615
32	2611	76528
33	2688	76380
34	2763	76204
35	2837	75991
36	2909	75737
37	2982	75502
38	3063	75490
39	3134	75220
40	3207	75018
41	3279	74808
42	3348	74513
43	3420	74313
44	3493	74145
45	3568	74017
46	3644	73907
47	3719	73777
48	3793	73634
49	3865	73453
50	3937	73260
51	4014	73187
52	4086	73009
53	4163	72934
54	4232	72719
55	4305	72579
56	4377	72428
57	4454	72352
58	4531	72266
59	4604	72142
60	4675	71974
61	4744	71777
62	4815	71617
63	4891	71534
64	4959	71340
65	5031	71197
66	5103	71068
67	5174	70914
68	5244	70767
69	5314	70607
70	5389	70523
71	5459	70370
72	5536	70311
73	5606	70156
74	5677	70017
75	5752	69942
76	5826	69837
77	5900	69743
78	5970	69608
79	6040	69466
80	6113	69367
81	6183	69226
82	6257	69130
83	6329	69016
84	6403	68928
85	6484	68914
86	6560	68852
87	6634	68758
88	6708	68669
89	6780	68562
90	6856	68493
91	6926	68358
92	6997	68249
93	7073	68174
94	7148	68100
95	7221	68004
96	7297	67933
97	7373	67864
98	7451	67813
99	7526	67738
100	7597	67621
101	7668	67509
102	7736	67375
103	7805	67248
104	7878	67157
105	7948	67035
106	8019	66930
107	8091	66827
108	8159	66698
109	8228	66579
110	8297	66456
111	8368	66352
112	8442	66266
113	8514	66172
114	8586	66081
115	8658	65980
116	8724	65840
117	8796	65747
118	8865	65636
119	8936	65535
120	9007	65434
121	9077	65329
122	9162	65328
123	9232	65221
124	9301	65108
125	9372	65011
126	9442	64907
127	9516	64828
128	9587	64733
129	9658	64637
130	9730	64546
131	9811	64519
132	9883	64431
133	9964	64394
134	10029	64265
135	10099	64158
136	10172	64080
137	10239	63959
138	10309	63860
139	10379	63758
140	10455	63697
141	10530	63630
142	10606	63563
143	10676	63463
144	10744	63358
145	10812	63247
146	10884	63160
147	10952	63049
148	11022	62951
149	11093	62862
150	11162	62763
151	11241	62713
152	11310	62614
153	11379	62514
154	11449	62417
155	11521	62332
156	11593	62250
157	11660	62141
158	11732	62054
159	11800	61951
160	11867	61846
161	11941	61772
162	12008	61665
163	12080	61579
164	12151	61494
165	12221	61400
166	12294	61326
167	12369	61260
168	12445	61195
169	12529	61174
170	12602	61094
171	12673	61009
172	12744	60925
173	12815	60834
174	12886	60749
175	12957	60666
176	13029	60584
177	13097	60486
178	13171	60411
179	13253	60376
180	13327	60305
181	13395	60206
182	13466	60122
183	13541	60052
184	13610	59957
185	13679	59864
186	13749	59778
187	13817	59681
188	13886	59586
189	13955	59494
190	14027	59412
191	14099	59333
192	14172	59261
193	14240	59163
194	14310	59077
195	14382	58997
196	14449	58900
197	14523	58826
198	14591	58731
199	14660	58643
200	14730	58554
201	14800	58467
202	14870	58383
203	14939	58292
204	15007	58199
205	15077	58113
206	15146	58025
207	15214	57931
208	15284	57846
209	15353	57756
210	15421	57667
211	15496	57600
212	15568	57524
213	15638	57438
214	15709	57358
215	15778	57271
216	15847	57183
217	15917	57099
218	15988	57016
219	16059	56936
220	16127	56846
221	16197	56764
222	16267	56681
223	16338	56601
224	16407	56513
225	16481	56444
226	16550	56357
227	16618	56270
228	16691	56196
229	16761	56114
230	16833	56038
231	16900	55947
232	16968	55856
233	17040	55781
234	17111	55702
235	17180	55616
236	17251	55538
237	17321	55456
238	17391	55376
239	17464	55305
240	17542	55246
241	17613	55168
242	17687	55101
243	17764	55039
244	17832	54952
245	17908	54889
246	17978	54809
247	18047	54724
248	18113	54631
249	18184	54553
250	18253	54468
251	18327	54400
252	18396	54315
253	18466	54234
254	18540	54165
255	18608	54081
256	18677	53997
257	18746	53915
258	18816	53833
259	18884	53749
260	18954	53668
261	19024	53588
262	19092	53503
263	19167	53436
264	19236	53352
265	19307	53278
266	19377	53198
267	19450	53126
268	19522	53052
269	19592	52972
270	19662	52893
271	19730	52808
272	19800	52729
273	19870	52650
274	19941	52574
275	20012	52496
276	20081	52415
277	20153	52340
278	20225	52266
279	20300	52201
280	20369	52120
281	20442	52048
282	20521	51991
283	20589	51907
284	20657	51824
285	20726	51744
286	20796	51666
287	20868	51591
288	20937	51510
289	21009	51436
290	21080	51360
291	21151	51285
292	21219	51202
293	21287	51120
294	21358	51043
295	21433	50976
296	21503	50897
297	21573	50820
298	21652	50763
299	21721	50684
300	21790	50603
301	21862	50529
302	21933	50454
303	22001	50372
304	22073	50298
305	22142	50217
306	22211	50138
307	22283	50065
308	22354	49989
309	22427	49919
310	22505	49859
311	22581	49796
312	22655	49726
313	22732	49664
314	22810	49604
315	22884	49535
316	22956	49461
317	23031	49394
318	23104	49324
319	23175	49247
320	23245	49170
321	23317	49097
322	23412	49071
323	23499	49030
324	23568	48950
325	23636	48868
326	23704	48786
327	23775	48710
328	23845	48632
329	23917	48559
330	23985	48477
331	24056	48403
332	24126	48324
333	24202	48260
334	24273	48185
335	24342	48105
336	24410	48024
337	24484	47954
338	24557	47883
339	24625	47802
340	24695	47725
341	24765	47648
342	24836	47573
343	24904	47491
344	24975	47416
345	25045	47340
346	25115	47264
347	25186	47188
348	25253	47106
349	25323	47029
350	25391	46949
351	25465	46879
352	25535	46802
353	25605	46726
354	25672	46644
355	25748	46577
356	25817	46501
357	25885	46420
358	25954	46342
359	26026	46268
360	26094	46190
361	26166	46116
362	26236	46039
363	26304	45961
364	26375	45886
365	26449	45817
366	26518	45738
367	26586	45659
368	26658	45586
369	26725	45506
370	26796	45432
371	26866	45354
372	26936	45279
373	27007	45205
374	27076	45126
375	27146	45051
376	27217	44978
377	27290	44906
378	27363	44835
379	27432	44758
380	27505	44686
381	27573	44608
382	27649	44543
383	27719	44467
384	27794	44398
385	27862	44320
386	27933	44246
387	28008	44177
388	28083	44110
389	28156	44039
390	28233	43974
391	28309	43908
392	28380	43833
393	28454	43764
394	28523	43687
395	28594	43613
396	28660	43532
397	28729	43454
398	28799	43379
399	28868	43303
400	28938	43227
401	29008	43151
402	29077	43074
403	29158	43016
404	29232	42946
405	29303	42872
406	29373	42797
407	29447	42728
408	29521	42658
409	29589	42580
410	29658	42504
411	29728	42428
412	29797	42351
413	29865	42273
414	29936	42200
415	30004	42122
416	30072	42044
417	30141	41967
418	30215	41897
419	30287	41824
420	30356	41748
421	30429	41678
422	30501	41606
423	30571	41531
424	30643	41458
425	30711	41381
426	30784	41310
427	30852	41233
428	30921	41156
